frame_idx,time_sec,bbox_h,underside_len,scale_bbox_h_vs_ref,scale_underside_len_vs_ref,depth_proxy_bbox_h,depth_proxy_underside_len,depth_proxy_bbox_h_smooth3,depth_proxy_underside_len_smooth3
120,4.0,217.0,420.267771783657,0.775,0.8725597970033414,1.2903225806451613,1.1460532601138975,1.2903225806451613,1.1460532601138975
150,5.0,197.0,464.27578011350107,0.7035714285714286,0.9639292081095949,1.4213197969543145,1.037420581913007,1.3558211887997378,1.0917369210134522
180,6.0,238.0,457.62976301809744,0.85,0.9501307498004212,1.1764705882352942,1.0524867237588658,1.2960376552782567,1.07865352192859
210,7.0,280.0,481.64924997346355,1.0,1.0,1.0,1.0,1.1992634617298696,1.0299691018906243
240,8.0,307.0,529.2258497087987,1.0964285714285715,1.098778519302078,0.9120521172638436,0.9101015194901879,1.0295075684997126,0.9875294144163512
