frame_idx,time_sec,bbox_w,bbox_h,bbox_area,bbox_sqrt_area,underside_len,underside_mid_x,underside_mid_y,underside_slope,bbox_w_ratio,bbox_h_ratio,bbox_area_ratio,bbox_sqrt_area_ratio,underside_len_ratio,underside_mid_y_delta,underside_mid_x_delta
120,4.0,984.0,217.0,213528.0,462.0909001484448,420.267771783657,292.0,709.5,-0.03571428571428571,,,,,,,
150,5.0,741.0,197.0,145977.0,382.06936542989155,464.27578011350107,389.0,690.0,-0.034482758620689655,0.7530487804878049,0.9078341013824884,0.6836433629313252,0.8268272872440321,1.1047142114730089,-19.5,97.0
180,6.0,1049.0,238.0,249662.0,499.66188567870574,457.62976301809744,523.5,606.0,-0.0525164113785558,1.4156545209176787,1.2081218274111676,1.710283126793947,1.3077779348168965,0.9856851953513946,-84.0,134.5
210,7.0,1068.0,280.0,299040.0,546.8454992042999,481.64924997346355,472.5,593.5,-0.05197505197505198,1.0181124880838894,1.1764705882352942,1.1977793977457523,1.0944310840549771,1.0524867237588658,-12.5,-51.0
240,8.0,1065.0,307.0,326955.0,571.7997901363728,529.2258497087987,732.0,507.0,-0.06818181818181818,0.9971910112359551,1.0964285714285715,1.0933487158908508,1.045633165068348,1.098778519302078,-86.5,259.5
